suite_name	timestamp	seed	model_name	experiment_id	dataset_name	evaluator_name	method_id	display_name	sequence_index	worker_id	cuda_visible_devices	run_name	train_subset	val_subset	metrics_path	predictions_path	diagnostics_path	log_path
c4_cross_model	20260327_020651	42	qwen2_vl	cub_fgvc	cub	raw	zero_shot	Zero-shot	0	main	inherit	c4_cross_model_cub_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	cub_fgvc	cub	raw	sav	SAV	1	main	inherit	c4_cross_model_cub_fgvc_seed42_sav_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_sav_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_sav_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_sav_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_sav_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	cub_fgvc	cub	raw	rsev2	RSEv2	2	main	inherit	c4_cross_model_cub_fgvc_seed42_rsev2_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/cub_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_cub_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	eurosat_fgvc	eurosat	raw	zero_shot	Zero-shot	3	main	inherit	c4_cross_model_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	eurosat_fgvc	eurosat	raw	sav	SAV	4	main	inherit	c4_cross_model_eurosat_fgvc_seed42_sav_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_sav_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_sav_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_sav_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_sav_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	eurosat_fgvc	eurosat	raw	rsev2	RSEv2	5	main	inherit	c4_cross_model_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/eurosat_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_eurosat_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	pets_fgvc	pets	raw	zero_shot	Zero-shot	6	main	inherit	c4_cross_model_pets_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_zero_shot_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	pets_fgvc	pets	raw	sav	SAV	7	main	inherit	c4_cross_model_pets_fgvc_seed42_sav_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_sav_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_sav_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_sav_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_sav_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	pets_fgvc	pets	raw	rsev2	RSEv2	8	main	inherit	c4_cross_model_pets_fgvc_seed42_rsev2_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/train_subset.json	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/pets_fgvc/val_subset.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_pets_fgvc_seed42_rsev2_qwen2_vl_20260327_020651.log
c4_cross_model	20260327_020651	42	qwen2_vl	naturalbench_vqa	naturalbench_vqa	raw	zero_shot	Zero-shot	9	main	inherit	c4_cross_model_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260327_020651	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/naturalbench_vqa/train_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/subsets/20260327_020651_c4_cross_model/seed_42/naturalbench_vqa/val_subset.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260327_020651.metrics.json	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260327_020651.predictions.jsonl	/root/autodl-tmp/FGVC/swap/paper/outputs/20260327_020651_c4_cross_model/c4_cross_model_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260327_020651.diagnostics.json	/root/autodl-tmp/FGVC/swap/paper/logs/20260327_020651_c4_cross_model/c4_cross_model_naturalbench_vqa_seed42_zero_shot_qwen2_vl_20260327_020651.log
